advertiser_id,advertiser_name,id,title,description,link,image_link,additional_image_link,mobile_link,virtual_model_link,aw_deep_link,aw_mobile_link,google_product_category,product_type,gtin,mpn,brand,identifier_exists,availability,availability_date,expiration_date,price,sale_price,sale_price_effective_date,unit_pricing_measure,unit_pricing_base_measure,installment,subscription_cost,loyalty_program,condition,adult,multipack,is_bundle,energy_efficiency_class,min_energy_efficiency_class,max_energy_efficiency_class,age_group,color,gender,material,pattern,size,size_type,size_system,item_group_id,product_weight,product_height,product_width,product_length,product_detail,product_highlight,certification,lifestyle_image_link,shipping,shipping_weight,shipping_height,shipping_width,shipping_length,min_handling_time,max_handling_time,ships_from_country,tax,gender_added,category_added,price_parse,currency_parse
59047,Zeagoo (USA Only),5.06E+13,Chic Floral Print Elastic Off Shoulder Matching Set - Blue / S,"Materials: 100% Polyester Fabric Features: Breathable, lightweight, durable, comfortable to wear Style: Chic, elegant Design: Spring floral print Top: Loose, mid-length bell sleeves, flexible elastic neckline that can be worn as a classic scoop neck or pulled down for a sultry off-the-shoulder look. Bottom: High waist wide-leg cut Occasions: Casual, beach, shopping, travel, vacation wear. Care Instructions: Machine wash cold, wash with like colors",https://zeagoo.com/products/chic-floral-print-elastic-off-shoulder-matching-set,https://cdn.shopify.com/s/files/1/0631/6975/7431/files/SDH000787_BL-1.jpg?v=1773979910,,,,https://www.awin1.com/cread.php?awinmid=59047&awinaffid=2771700&ued=https%3A%2F%2Fzeagoo.com%2Fproducts%2Fchic-floral-print-elastic-off-shoulder-matching-set,,Clothing & Accessories > Clothing > Dresses,,,SDH000787_BL_S,Zeagoo (USA Only),1,in_stock,,,57.99 USD,,,,,,,,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Womens,Co-Ord,57.99,USD
59047,Zeagoo (USA Only),5.06E+13,Chic Floral Print Elastic Off Shoulder Matching Set - Green / S,"Materials: 100% Polyester Fabric Features: Breathable, lightweight, durable, comfortable to wear Style: Chic, elegant Design: Spring floral print Top: Loose, mid-length bell sleeves, flexible elastic neckline that can be worn as a classic scoop neck or pulled down for a sultry off-the-shoulder look. Bottom: High waist wide-leg cut Occasions: Casual, beach, shopping, travel, vacation wear. Care Instructions: Machine wash cold, wash with like colors",https://zeagoo.com/products/chic-floral-print-elastic-off-shoulder-matching-set,https://cdn.shopify.com/s/files/1/0631/6975/7431/files/SDH000787_G-1.jpg?v=1773979975,,,,https://www.awin1.com/cread.php?awinmid=59047&awinaffid=2771700&ued=https%3A%2F%2Fzeagoo.com%2Fproducts%2Fchic-floral-print-elastic-off-shoulder-matching-set,,Clothing & Accessories > Clothing > Dresses,,,SDH000787_G_S,Zeagoo (USA Only),1,in_stock,,,57.99 USD,,,,,,,,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Womens,Co-Ord,57.99,USD
59047,Zeagoo (USA Only),5.06E+13,Cute Ruffle Trim Sleeveless Vest Dress with Pockets - Blue / S,"Materials: 50% Polyester, 50% Spandex Fabric Features: Breathable, lightweight, stretchy, durable, comfortable to wear Style: Casual Design: Round neck, sleeveless, relaxed A-line silhouette, ruffle trim details, functional pockets Occasions: Summer events, beach vacations, casual outings, date nights Care Instructions: Machine wash cold, wash with like colors",https://zeagoo.com/products/cute-ruffle-trim-sleeveless-vest-dress,https://cdn.shopify.com/s/files/1/0631/6975/7431/files/SYV009493_BL-1.jpg?v=1774336001,,,,https://www.awin1.com/cread.php?awinmid=59047&awinaffid=2771700&ued=https%3A%2F%2Fzeagoo.com%2Fproducts%2Fcute-ruffle-trim-sleeveless-vest-dress,,Clothing & Accessories > Clothing > Dresses,,,SYV009493_BL_S,Zeagoo (USA Only),1,in_stock,,,35.99 USD,,,,,,,,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Womens,Dresses,35.99,USD
59047,Zeagoo (USA Only),5.06E+13,Cute Ruffle Trim Sleeveless Vest Dress with Pockets - White / S,"Materials: 50% Polyester, 50% Spandex Fabric Features: Breathable, lightweight, stretchy, durable, comfortable to wear Style: Casual Design: Round neck, sleeveless, relaxed A-line silhouette, ruffle trim details, functional pockets Occasions: Summer events, beach vacations, casual outings, date nights Care Instructions: Machine wash cold, wash with like colors",https://zeagoo.com/products/cute-ruffle-trim-sleeveless-vest-dress,https://cdn.shopify.com/s/files/1/0631/6975/7431/files/SYV009493_W-1.jpg?v=1774336192,,,,https://www.awin1.com/cread.php?awinmid=59047&awinaffid=2771700&ued=https%3A%2F%2Fzeagoo.com%2Fproducts%2Fcute-ruffle-trim-sleeveless-vest-dress,,Clothing & Accessories > Clothing > Dresses,,,SYV009493_W_S,Zeagoo (USA Only),1,in_stock,,,35.99 USD,,,,,,,,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Womens,Dresses,35.99,USD
59047,Zeagoo (USA Only),5.06E+13,Chic Jacquard Texture Vacation Sleeveless Vest Pants Matching Set - Clear Blue / S,"Materials: 95% Polyester, 5% Spandex Fabric Features: Breathable, lightweight, durable, comfortable to wear Style: Chic, elegant Design: Jacquard texture design Features: The deep V-neck sleeveless design features a drawstring tie in the same material along the neckline and center front. It has a high-waisted, cinched waist and wide-leg trousers, with the trousers continuing the jacquard texture of the upper body. Occasions: Casual, beach, shopping, travel, vacation wear. Care Instructions: Machine wash cold, wash with like colors",https://zeagoo.com/products/chic-jacquard-texture-vacation-sleeveless-vest-pants-matching-set,https://cdn.shopify.com/s/files/1/0631/6975/7431/files/SYV009531_CLB-1.jpg?v=1774336911,,,,https://www.awin1.com/cread.php?awinmid=59047&awinaffid=2771700&ued=https%3A%2F%2Fzeagoo.com%2Fproducts%2Fchic-jacquard-texture-vacation-sleeveless-vest-pants-matching-set,,Clothing & Accessories > Clothing > Dresses,,,SYV009531_CLB_S,Zeagoo (USA Only),1,in_stock,,,47.99 USD,,,,,,,,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Womens,Co-Ord,47.99,USD
59047,Zeagoo (USA Only),5.06E+13,Chic Jacquard Texture Vacation Sleeveless Vest Pants Matching Set - Green / S,"Materials: 95% Polyester, 5% Spandex Fabric Features: Breathable, lightweight, durable, comfortable to wear Style: Chic, elegant Design: Jacquard texture design Features: The deep V-neck sleeveless design features a drawstring tie in the same material along the neckline and center front. It has a high-waisted, cinched waist and wide-leg trousers, with the trousers continuing the jacquard texture of the upper body. Occasions: Casual, beach, shopping, travel, vacation wear. Care Instructions: Machine wash cold, wash with like colors",https://zeagoo.com/products/chic-jacquard-texture-vacation-sleeveless-vest-pants-matching-set,https://cdn.shopify.com/s/files/1/0631/6975/7431/files/SYV009531_G-1.jpg?v=1774336911,,,,https://www.awin1.com/cread.php?awinmid=59047&awinaffid=2771700&ued=https%3A%2F%2Fzeagoo.com%2Fproducts%2Fchic-jacquard-texture-vacation-sleeveless-vest-pants-matching-set,,Clothing & Accessories > Clothing > Dresses,,,SYV009531_G_S,Zeagoo (USA Only),1,in_stock,,,47.99 USD,,,,,,,,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Womens,Co-Ord,47.99,USD
59047,Zeagoo (USA Only),5.06E+13,Chic Jacquard Texture Vacation Sleeveless Vest Pants Matching Set - Light Green / S,"Materials: 95% Polyester, 5% Spandex Fabric Features: Breathable, lightweight, durable, comfortable to wear Style: Chic, elegant Design: Jacquard texture design Features: The deep V-neck sleeveless design features a drawstring tie in the same material along the neckline and center front. It has a high-waisted, cinched waist and wide-leg trousers, with the trousers continuing the jacquard texture of the upper body. Occasions: Casual, beach, shopping, travel, vacation wear. Care Instructions: Machine wash cold, wash with like colors",https://zeagoo.com/products/chic-jacquard-texture-vacation-sleeveless-vest-pants-matching-set,https://cdn.shopify.com/s/files/1/0631/6975/7431/files/SYV009531_LG-1.jpg?v=1774336911,,,,https://www.awin1.com/cread.php?awinmid=59047&awinaffid=2771700&ued=https%3A%2F%2Fzeagoo.com%2Fproducts%2Fchic-jacquard-texture-vacation-sleeveless-vest-pants-matching-set,,Clothing & Accessories > Clothing > Dresses,,,SYV009531_LG_S,Zeagoo (USA Only),1,in_stock,,,47.99 USD,,,,,,,,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Womens,Co-Ord,47.99,USD
59047,Zeagoo (USA Only),5.06E+13,Chic Jacquard Texture Vacation Sleeveless Vest Pants Matching Set - Lavender / S,"Materials: 95% Polyester, 5% Spandex Fabric Features: Breathable, lightweight, durable, comfortable to wear Style: Chic, elegant Design: Jacquard texture design Features: The deep V-neck sleeveless design features a drawstring tie in the same material along the neckline and center front. It has a high-waisted, cinched waist and wide-leg trousers, with the trousers continuing the jacquard texture of the upper body. Occasions: Casual, beach, shopping, travel, vacation wear. Care Instructions: Machine wash cold, wash with like colors",https://zeagoo.com/products/chic-jacquard-texture-vacation-sleeveless-vest-pants-matching-set,https://cdn.shopify.com/s/files/1/0631/6975/7431/files/SYV009531_LPU-1.jpg?v=1774336911,,,,https://www.awin1.com/cread.php?awinmid=59047&awinaffid=2771700&ued=https%3A%2F%2Fzeagoo.com%2Fproducts%2Fchic-jacquard-texture-vacation-sleeveless-vest-pants-matching-set,,Clothing & Accessories > Clothing > Dresses,,,SYV009531_LPU_S,Zeagoo (USA Only),1,in_stock,,,47.99 USD,,,,,,,,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Womens,Co-Ord,47.99,USD
59047,Zeagoo (USA Only),5.06E+13,Chic Jacquard Texture Vacation Sleeveless Vest Pants Matching Set - Pink / S,"Materials: 95% Polyester, 5% Spandex Fabric Features: Breathable, lightweight, durable, comfortable to wear Style: Chic, elegant Design: Jacquard texture design Features: The deep V-neck sleeveless design features a drawstring tie in the same material along the neckline and center front. It has a high-waisted, cinched waist and wide-leg trousers, with the trousers continuing the jacquard texture of the upper body. Occasions: Casual, beach, shopping, travel, vacation wear. Care Instructions: Machine wash cold, wash with like colors",https://zeagoo.com/products/chic-jacquard-texture-vacation-sleeveless-vest-pants-matching-set,https://cdn.shopify.com/s/files/1/0631/6975/7431/files/SYV009531_PI-1.jpg?v=1774336911,,,,https://www.awin1.com/cread.php?awinmid=59047&awinaffid=2771700&ued=https%3A%2F%2Fzeagoo.com%2Fproducts%2Fchic-jacquard-texture-vacation-sleeveless-vest-pants-matching-set,,Clothing & Accessories > Clothing > Dresses,,,SYV009531_PI_S,Zeagoo (USA Only),1,in_stock,,,47.99 USD,,,,,,,,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Womens,Co-Ord,47.99,USD
59047,Zeagoo (USA Only),5.06E+13,Chic Jacquard Texture Vacation Sleeveless Vest Pants Matching Set - Purple / S,"Materials: 95% Polyester, 5% Spandex Fabric Features: Breathable, lightweight, durable, comfortable to wear Style: Chic, elegant Design: Jacquard texture design Features: The deep V-neck sleeveless design features a drawstring tie in the same material along the neckline and center front. It has a high-waisted, cinched waist and wide-leg trousers, with the trousers continuing the jacquard texture of the upper body. Occasions: Casual, beach, shopping, travel, vacation wear. Care Instructions: Machine wash cold, wash with like colors",https://zeagoo.com/products/chic-jacquard-texture-vacation-sleeveless-vest-pants-matching-set,https://cdn.shopify.com/s/files/1/0631/6975/7431/files/SYV009531_PU-1.jpg?v=1774336911,,,,https://www.awin1.com/cread.php?awinmid=59047&awinaffid=2771700&ued=https%3A%2F%2Fzeagoo.com%2Fproducts%2Fchic-jacquard-texture-vacation-sleeveless-vest-pants-matching-set,,Clothing & Accessories > Clothing > Dresses,,,SYV009531_PU_S,Zeagoo (USA Only),1,in_stock,,,47.99 USD,,,,,,,,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Womens,Co-Ord,47.99,USD
